Unique_Funder,Matched_Funder,Matched_Code
U.S. Department of Education,"Department of Education (Philippines, Manila)",41___DEPARTMENT_OF_EDUCATION_(MANILA)
U.S. Department of Energy,"United States Department of Energy (United States, Washington) - DOE",41___UNITED_STATES_DEPARTMENT_OF_ENERGY_(WASHINGTON_D.C.)
U.S. Department of Health and Human Services,"Department of Health and Human Services (United States, Long Beach) - LBDHHS",41___DEPARTMENT_OF_HEALTH_AND_HUMAN_SERVICES_(LONG_BEACH)
U.S. Department of Veterans Affairs,"United States Department of Veterans Affairs (United States, Washington) - VA",41___UNITED_STATES_DEPARTMENT_OF_VETERANS_AFFAIRS_(WASHINGTON_D.C.)
U.S. Food and Drug Administration,"United States Food and Drug Administration (United States, Silver Spring) - FDA",41___UNITED_STATES_FOOD_AND_DRUG_ADMINISTRATION_(SILVER_SPRING)
U.S. National Library of Medicine,"ZB MED - Information Centre for Life Sciences (Germany, Cologne) - ZB MED",41___GERMAN_NATIONAL_LIBRARY_OF_MEDICINE_(COLOGNE)
U.S. Naval Research Laboratory,"Naval Research Laboratory Optical Sciences Division (United States, Washington)",41___NAVAL_RESEARCH_LABORATORY_OPTICAL_SCIENCES_DIVISION_(WASHINGTON)
UK Space Agency,"United Kingdom Space Agency (United Kingdom, Swindon) - UKSA",41___UNITED_KINGDOM_SPACE_AGENCY_(SWINDON)
United States - Israel Binational Science Foundation,"United States-Israel Binational Science Foundation (Israel, Jerusalem) - BSF",41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM)
Universidad Nacional de Cuyo,"National University of Cuyo (Argentina, Mendoza)",41___NATIONAL_UNIVERSITY_OF_CUYO_(MENDOZA)
Universiteit Gent,"Ghent University (Belgium, Ghent)",41___GHENT_UNIVERSITY_(GHENT)
Université de Paris,"Université Paris Cité (France, Paris)",41___UNIVERSITY_OF_PARIS_(PARIS)
Univerzita Karlova v Praze,"Charles University (Czechia, Prague)",41___CHARLES_UNIVERSITY_(PRAGUE)
Vetenskapsrådet,"Swedish Research Council (Sweden, Stockholm) - VR",41___SWEDISH_RESEARCH_COUNCIL_(STOCKHOLM)
William T. Grant Foundation,"William Thomas Grant Foundation (United States, New York)",41___WILLIAM_THOMAS_GRANT_FOUNDATION_(NEW_YORK)
William and Flora Hewlett Foundation,"Hewlett Foundation (United States, Menlo Park)",41___HEWLETT_FOUNDATION_(MENLO_PARK)
“la Caixa” Foundation,"Caixa Cultural (Brazil, Brasília)",41___CAIXA_CULTURAL_(BRASÍLIA)
